843862973072531500, De #julianabrug in #zaandam #zaandijk is weer dicht. Zie https://t.co/zCqSr3mrjr #brugopen, 52.471471, 4.813427, <a href="https://brugopen.nl" rel="nofollow">BrugOpen</a>, 3375579785, nl, 1490027585653, 843861469729095700, 3375579785, OpenBrug
843863217776541700, Prio: 1 Letsel Overtoom 1054JM Amsterdam https://t.co/IfhHIqeBNf #p2000, 52.3600077, 4.8641818, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490027643995, , , 
843863228316880900, #AMSTERDAM #AML | Prio: 1 Letsel Overtoom 1054JM Amsterdam | https://t.co/16kPhydysB, 52.36108, 4.86858, <a href="http://112alarm.net" rel="nofollow">112alarm.net</a>, 19140633, nl, 1490027646508, , , 
843863638784053200, File op A58 Stilstaand verkeer #A58 #A58_ROO #file #fileleed #verkeer https://t.co/DP8g2wBXSw, 51.52707, 4.45488, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490027744371, , , 
843864750417174500, #ICDirect 1058 (V 18:05 van Amsterdam Airport) naar Rotterdam Centraal is 10 minuten vertraagd., 52.30944443, 4.76194429, <a href="https://sites.google.com/site/failrahsl/" rel="nofollow">FailraBot</a>, 278708054, nl, 1490028009405, , , 
843864827177197600, P 1 Ass. aan derden Gamma , Spaklerweg 44 A Amsterdam [ 13GG04 13ASW ] https://t.co/EUZ0MHOjUG #p2000, 52.340312, 4.9197364, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490028027706, , , 
843864848459075600, File op A58 Stilstaand verkeer #A58 #A58_NLN #file #fileleed #verkeer https://t.co/kHOTryEQvK, 51.4877, 5.3805, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490028032780, , , 
843864868222656500, File op A27 Stilstaand verkeer #A27 #A27_RDW #file #fileleed #verkeer https://t.co/3yGwOQqJAA, 51.87452, 4.96563, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490028037492, , , 
843864885398323200, File op E25 Stilstaand verkeer #E25 #E25_HZW #file #fileleed #verkeer https://t.co/SxH6Cfroyo, 52.06029, 5.0684, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490028041587, , , 
843865375163015200, #ICDirect 945 (V 17:37 van Amsterdam Airport) naar Amsterdam Centraal is 6 minuten vertraagd., 52.30944443, 4.76194429, <a href="https://sites.google.com/site/failrahsl/" rel="nofollow">FailraBot</a>, 278708054, nl, 1490028158356, , , 
843865490959155200, #amsterdam #bbryance #souriredestar #travel #instapic @ Amsterdam, Netherlands https://t.co/A17Oxz3R98, 52.3731, 4.8922, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 213019379, nl, 1490028185964, , , 
843865881067307000, Leukste werk op aarde | #director #filming #nashville @ Warner Music Nashville https://t.co/etq5CitWo9, 36.1502339, -86.7916986, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 53470226, nl, 1490028278973, , , 
843865964613636100, P 1 Ass. aan derden (Werken op Hoogte) , Bos en Lommerweg 250 Amsterdam [ 13ALO 13GG06 13AST ] https://t.co/QcCq6R51n7 #p2000, 52.3843226, 4.8561362, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490028298892, , , 
843866004824490000, #ICDirect 1058 (V 18:05 van Amsterdam Airport) naar Rotterdam Centraal rijdt vandaag niet. #fail Geld terug? Zie https://t.co/wQfqoWMoGC, 52.30944443, 4.76194429, <a href="https://sites.google.com/site/failrahsl/" rel="nofollow">FailraBot</a>, 278708054, nl, 1490028308479, , , 
843866006837760000, #ICDirect 1058 (V 17:49 van Amsterdam) naar Rotterdam Centraal is 10 minuten vertraagd., 52.37888718, 4.90027761, <a href="https://sites.google.com/site/failrahsl/" rel="nofollow">FailraBot</a>, 278708054, nl, 1490028308959, , , 
843866115583434800, A1 13105 Rit 33425 Amsterdam Julianaplein 1097DN 1 Amsterdam Amstel https://t.co/gjwk244O6t #p2000, 52.3476949, 4.9186782, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490028334886, , , 
843866176530911200, HAARLEMMERMEER: Politie zoekt omg. HFD: hulpbehoevende man in grijze Nissan Qashqai 8-TLB-**. Ziet u de auto/per https://t.co/V200oHQhhB, 52.32717817, 4.64865461, <a href="http://www.burgernet.nl" rel="nofollow">Burgernet Provincie NH Koppeling</a>, 819516859, nl, 1490028349417, , , 
843866252422660100, File op A12 Langzaam rijdend tot stilstaand verkeer #A12 #A12_DRI #file #fileleed #verkeer https://t.co/Q5ks9u4TJI, 52.05983, 5.21572, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490028367511, , , 
843866530249134100, Haarlemmermeer - Politie zoekt omg. HFD: hulpbehoevende man in grijze Nissan Qashqai 8-TLB-**. Ziet u de auto/pers...https://t.co/MZzZKi5LVX, 52.32717817, 4.64865461, <a href="http://www.burgernetnl.nl" rel="nofollow">BurgernetNL App</a>, 1870524908, nl, 1490028433750, , , 
843866961486495700, I'm at Nedtrain Zaanstraat in Amsterdam, Noord-Holland https://t.co/NNtqi3zccl, 52.39138082, 4.86790937, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 275588575, nl, 1490028536565, , , 
843867328303587300, Geld skeppen (@ De Treffer in Waregem, West-Vlaanderen) https://t.co/jnIfJH9qdO, 50.88468071, 3.42988439, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 3419061022, nl, 1490028624021, , , 
843867358942978000, File op N233 Stilstaand verkeer #N233 #N233_NLN #file #fileleed #verkeer https://t.co/gkk3WFEVCG, 51.92035, 5.57156, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490028631326, , , 
843867376785461200, File op N214 Stilstaand verkeer #N214 #N214_LAN #file #fileleed #verkeer https://t.co/wCT6vNRZmO, 51.89924, 4.92543, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490028635580, , , 
843867526324994000, A1 13117 Rit 33427 Amsterdam Linnaeusstraat 1092CK 22 H https://t.co/LxbgLjDrc8 #p2000, 52.3614579, 4.9242142, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490028671233, , , 
843868075661443100, Haarlemmermeer - Ivm melding verwarde, hulpbehoevende man: Persoon aangetroffen door de politie in Hoofddorp. Dank...https://t.co/MZzZKi5LVX, 52.32717817, 4.64865461, <a href="http://www.burgernetnl.nl" rel="nofollow">BurgernetNL App</a>, 1870524908, nl, 1490028802205, , , 
843868128455090200, HAARLEMMERMEER: Ivm melding verwarde, hulpbehoevende man: Persoon aangetroffen door de politie in Hoofddorp. Dan https://t.co/V200oHQhhB, 52.32717817, 4.64865461, <a href="http://www.burgernet.nl" rel="nofollow">Burgernet Provincie NH Koppeling</a>, 819516859, nl, 1490028814792, , , 
843868174835744800, Na werk en blog nu het sporten weer oppakken ... #toughcookie (at @IndoorAction in Arnhem, Netherlands) https://t.co/Zq1XWMogRf, 51.98322735, 5.91617064, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 223948477, nl, 1490028825850, , , 
843868431007076400, @RobbieRietdijk @TanjaMeijer42 hahaha #wilders in één adem noemen met democratie is best heel grappig ;), 52.9913106, 6.57047552, <a href="http://tapbots.com/tweetbot" rel="nofollow">Tweetbot for iΟS</a>, 40961488, nl, 1490028886926, 843076463884750800, 303844385, RobbieRietdijk
843868604789657600, File op N210 Stilstaand verkeer #N210 #N210_A16 #file #fileleed #verkeer https://t.co/jlCSBo6Rp7, 51.9144, 4.53698, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490028928359, , , 
843868622464434200, File op A50 Stilstaand verkeer #A50 #A50_SPB #file #fileleed #verkeer https://t.co/5UIA9xfqg0, 51.51664, 5.46871, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490028932573, , , 
843868642253197300, File op A28 Langzaam rijdend verkeer. Stilstaand verkeer #A28 #A28_IZN #file #fileleed #verkeer https://t.co/YFjpll9EbE, 52.09342, 5.20224, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490028937291, , , 
843868660099956700, File op A12 Stilstaand verkeer #A12 #A12_ARN #file #fileleed #verkeer https://t.co/NlMLqqED0o, 51.98382, 5.97237, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490028941546, , , 
843868678177378300, File op A9 Stilstaand verkeer. Geschaarde aanhanger #A9 #A9_VEL #file #fileleed #verkeer https://t.co/gAugsAp3YZ, 52.4341, 4.67443, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490028945856, , , 
843868698926612500, File op A12 Langzaam rijdend tot stilstaand verkeer #A12 #A12_BUN #file #fileleed #verkeer https://t.co/F1dKK6i3ly, 52.06035, 5.20732, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490028950803, , , 
843868954485571600, @L____Joy de #PVV is niet echt een partij hè. De PVV is enkel #Wilders. Dus democratie is wel een beetje een vreemd woord voor Geert., 52.99503948, 6.56687455, <a href="http://tapbots.com/tweetbot" rel="nofollow">Tweetbot for iΟS</a>, 40961488, nl, 1490029011733, 842534850947158000, 769675779701608400, L____Joy
843869150267301900, #ICDirect 1047 (V 17:55 van Amsterdam Airport) naar Amsterdam Centraal is 5 minuten vertraagd., 52.30944443, 4.76194429, <a href="https://sites.google.com/site/failrahsl/" rel="nofollow">FailraBot</a>, 278708054, nl, 1490029058411, , , 
843869437988143100, En zo naar binnen gelopen... (@ Algemeen Dagblad HQ in Rotterdam, Nederland) https://t.co/tKLs78g46o https://t.co/wLaIjL9YVI, 51.92504178, 4.47308779, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 19345492, nl, 1490029127009, , , 
843869688887201800, @Reneaultgek hahaha Geert #Wilders en #PVV in één adem noemen met #democratie. Da's best grappig., 52.99899407, 6.5709685, <a href="http://tapbots.com/tweetbot" rel="nofollow">Tweetbot for iΟS</a>, 40961488, nl, 1490029186828, 842444369676382200, 24502059, Reneaultgek
843869691630293000, #amsterdam @ Leidseplein - Amsterdam Centrum https://t.co/KeKRfCDAE1, 52.36412531, 4.88316855, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 129324972, nl, 1490029187482, , , 
843869759934488600, #alarm Prio: 1 Letsel Overtoom 1054JM Amsterdam - Overtoom 326II, 1054 JD Amsterdam, Netherlands, 52.3606444, 4.8669769, <a href="http://www.copspotter.nl" rel="nofollow">Cop Spotter</a>, 224671737, nl, 1490029203767, , , 
843869761696153600, #alarm P1 Ongeval Wegvervoer Letsel Waterrijklaan 17 Assendelft - Waterrijklaan 17, 1566 TT Assendelft, Netherlands, 52.4835733, 4.7563135, <a href="http://www.copspotter.nl" rel="nofollow">Cop Spotter</a>, 224671737, nl, 1490029204187, , , 
843869842134515700, File op A27 Stilstaand verkeer #A27 #A27_LEX #file #fileleed #verkeer https://t.co/IGMN9AiI6V, 51.91941, 4.98868, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490029223365, , , 
843869862200008700, File op A27 Stilstaand verkeer #A27 #A27_WJI #file #fileleed #verkeer https://t.co/rIWXqMg0lm, 52.20788, 5.20332, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490029228149, , , 
843869884765425700, File op N237 Stilstaand verkeer #N237 #N237_ZEI #file #fileleed #verkeer https://t.co/dGkCTXvn6H, 52.1024, 5.19358, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490029233529, , , 
843869904184971300, File op A28 Stilstaand verkeer #A28 #A28_RIJ #file #fileleed #verkeer https://t.co/ATq88DC6nq, 52.09252, 5.17676, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490029238159, , , 
843870001455124500, @HenkRomer #wilders en #democratie in één adem noemen. Da's wel heel grappig :), 53.00779365, 6.58369737, <a href="http://tapbots.com/tweetbot" rel="nofollow">Tweetbot for iΟS</a>, 40961488, nl, 1490029261350, 842432534466175000, 3964080915, HenkRomer
843870165871874000, @TanjaMeijer42 @RobbieRietdijk valt mee. Niemand wil toch een coalitie met Greet., 53.00779365, 6.58369737, <a href="http://tapbots.com/tweetbot" rel="nofollow">Tweetbot for iΟS</a>, 40961488, nl, 1490029300550, 843869823574724600, 3053931536, TanjaMeijer42
843870251095904300, P 2 Ass. aan derden (13GG06) (Werken op Hoogte) , Bos en Lommerweg 250 Amsterdam [ 13OVDN ] https://t.co/l5BtGji433 #p2000, 52.3843226, 4.8561362, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490029320869, , , 
843870963716542500, A2 13109 Rit 33431 Amsterdam Kanaalstraat 1054XN 126 2 https://t.co/Q0LvO9lKah #p2000, 52.3615559, 4.8606548, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490029490771, , , 
843871430647435300, @RTLLateNight @PvdA @JobCohen samen veel thee drinken. Boel 'n beetje bij elkaar krijgen. Met @sharon_dijksma sexy worden voor jonge kiezer, 51.921411, 4.435639, <a href="http://www.twitter.com" rel="nofollow">Twitter for Windows Phone</a>, 22144613, nl, 1490029602096, , 1654875048, RTLLateNight
843871684578828300, Leftover Lasagne. Recht uit de oven. #eetsmakelijk @ Ballum, Friesland, Netherlands https://t.co/v1oHjq3ctZ, 53.45, 5.68333, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 190145090, nl, 1490029662638, , , 
843871719794327600, A1 13161 Rit 33432 Amsterdam Radboud 1081AR 34 B https://t.co/0G1sk6IJxf #p2000, 52.3264752, 4.8675317, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490029671034, , , 
843871877093376000, A2 13121 Rit 33433 Amsterdam Sint Luciensteeg https://t.co/V3RzbVXZPE #p2000, 52.370212, 4.8901809, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490029708537, , , 
843872047084257300, 2do dia de Amsterdam... @ Amsterdam, Netherlands https://t.co/zi7pf2Pz0s, 52.3731, 4.8922, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 588330572, nl, 1490029749066, , , 
843872415549669400, Je hebt mensen die beeldig op foto's staan en je hebt mij. @ Amsterdam, Netherlands https://t.co/kHCScE8kRm, 52.3731, 4.8922, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 627537245, nl, 1490029836915, , , 
843872571133251600, Nieuwe outfitpost online met daarin oa deze leuke top! Vandaag ben ik weer aan het werk gegaan… https://t.co/KPb6swkPFQ, 51.8333, 4.13333, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 2901746730, nl, 1490029874009, , , 
843872869465686000, A1 13342 Rit 33434 Amsterdam Tosaristraat Jan Schaeferbrug https://t.co/wo1ru8IIeX #p2000, 52.37954, 4.922569, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490029945137, , , 
843872925308649500, #ICDirect 949 (V 18:37 van Amsterdam Airport) naar Amsterdam Centraal is 6 minuten vertraagd., 52.30944443, 4.76194429, <a href="https://sites.google.com/site/failrahsl/" rel="nofollow">FailraBot</a>, 278708054, nl, 1490029958451, , , 
843873005319196700, Laatste les binnen. Laatste les van Fabian😢 (@ DikTromHal) https://t.co/dcXZaduhGp https://t.co/5bwWMc0rUX, 52.30039682, 4.69924386, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 207606980, nl, 1490029977527, , , 
843873007680585700, Laatste les binnen. Laatste les van Fabian😢 (@ DikTromHal) https://t.co/dcXZaduhGp https://t.co/cehsZCMisc, 52.30039682, 4.69924386, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 207606980, nl, 1490029978090, , , 
843873010553700400, Laatste les binnen. Laatste les van Fabian😢 (@ DikTromHal) https://t.co/dcXZaduhGp https://t.co/FDRwB6pSsL, 52.30039682, 4.69924386, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 207606980, nl, 1490029978775, , , 
843873011476369400, Laatste les binnen. Laatste les van Fabian😢 (@ DikTromHal) https://t.co/dcXZaduhGp https://t.co/YemMTXgld5, 52.30039682, 4.69924386, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 207606980, nl, 1490029978995, , , 
843873013233844200, Laatste les binnen. Laatste les van Fabian😢 (@ DikTromHal) https://t.co/dcXZaduhGp https://t.co/4sJLrSZrTi, 52.30039682, 4.69924386, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 207606980, nl, 1490029979414, , , 
843873015486206000, Laatste les binnen. Laatste les van Fabian😢 (@ DikTromHal) https://t.co/dcXZaduhGp https://t.co/uWF4H4zBDv, 52.30039682, 4.69924386, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 207606980, nl, 1490029979951, , , 
843874252457570300, ⚽️🥇🇦🇷 @ Amsterdam, Netherlands https://t.co/W29bR8CKfo, 52.3731, 4.8922, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 160952218, nl, 1490030274868, , , 
843874862779318300, P 1 Brandmelding OMS Centraal Station NS IZP-I1018 , Stationsplein 15 Amsterdam [ 13GG02 13ASN ] https://t.co/0LlBftrgbz #p2000, 52.3791406, 4.8999493, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490030420380, , , 
843875442234982400, #ICDirect 1053 (V 18:56 van Rotterdam) naar Amsterdam Centraal rijdt vandaag niet. #fail Geld terug? Zie https://t.co/wQfqoWMoGC, 51.92499924, 4.46888876, <a href="https://sites.google.com/site/failrahsl/" rel="nofollow">FailraBot</a>, 278708054, nl, 1490030558533, , , 
843875944406433800, NEDERLAND-BELGIË⚽ (@ Topsportcentrum Almere in Almere, Flevoland) https://t.co/xtSkjfJSlx, 52.34205164, 5.15825272, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 23058839, nl, 1490030678260, , , 
843876078234034200, File op A12 Stilstaand verkeer #A12 #A12_GIK #file #fileleed #verkeer https://t.co/OTJnbgqjlv, 51.98254, 5.9767, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490030710167, , , 
843876765948895200, Hallo wereld! #6iTest Alles over Internet!, 52.36686168, 4.9404865, <a href="http://6i.nl" rel="nofollow">6i</a>, 600677100, nl, 1490030874131, , , 
843876863470657500, A2 13124 Rit 33441 Amsterdam Kadoelenweg 1035NL 166 https://t.co/Lu8cPjUWG1 #p2000, 52.4190665, 4.9067903, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490030897382, , , 
843876864225697800, #R1/Ring Antwerpen Ring 2 (Nederland) ter hoogte van Linkeroever Ongeval, Linkerrijstrook versperd sinds 20/03/2017 18:25, 51.2145, 4.3608, <a href="http://www.touringmobilis.be" rel="nofollow">Automatic Traffic Update</a>, 55241812, nl, 1490030897562, , , 
843877502393245700, A1 13117 Rit 33442 Amsterdam Tosaristraat Jan Schaeferbrug https://t.co/AHVWJCeUkI #p2000, 52.37954, 4.922569, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490031049713, , , 
843878365174120400, Wormerland - einde burgernetactie Purmerend. Kenny is in goede gezondheid aangetroffen. Bedankt voor uw hulp en ee...https://t.co/gXXyIyxDsC, 52.4871548, 4.90128047, <a href="http://www.burgernetnl.nl" rel="nofollow">BurgernetNL App</a>, 1870524908, nl, 1490031255416, , , 
843878813234856000, @pvmeekeren oja. Politiek incorrecte opmerking zonder dat ik t in de gaten had :-), 52.46148675, 5.0104575, <a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>, 19335517, nl, 1490031362242, 843878591096066000, 219310538, pvmeekeren
843878890703654900, @angarant morgen toch? Maar dan waait t nog steeds., 52.45344382, 4.96695246, <a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>, 19335517, nl, 1490031380712, 843878742325903400, 272961428, angarant
843879317406933000, A1 13102 Rit 33445 Amsterdam Edisonstraat 1098SX 5 H https://t.co/XKJ5XHs4Jt #p2000, 52.3492409, 4.9418641, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490031482446, , , 
843879529315754000, @marjoleinesnaas je hebt gelijk, 52.4534009, 4.96745159, <a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>, 19335517, nl, 1490031532969, 843878941345677300, 385378907, marjoleinesnaas
843879811525169200, Benefietdiner met de voedselbankamsterdam ter gelegenheid van het 150-jarig bestaan met… https://t.co/fHbwAkuY5g, 52.397051, 4.87067699, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 210909435, nl, 1490031600253, , , 
843879828327710700, @leinmarjob op die fiets!, 52.37837838, 4.89969673, <a href="http://www.tweetcaster.com" rel="nofollow">TweetCaster for Android</a>, 175007459, nl, 1490031604259, 843877490007457800, 153103213, leinmarjob
843880175897104400, @Lennartwesel ik zou als ik Geert was niet te ver uit het raam leunen., 52.37837838, 4.89969673, <a href="http://www.tweetcaster.com" rel="nofollow">TweetCaster for Android</a>, 175007459, nl, 1490031687126, 843877043255361500, 18804924, Lennartwesel
843880428771729400, P 1 Brandmelding OMS Jan van Goyen Kliniek , Jan van Goyenkade 1 Amsterdam [ 13GG02 13ASP ] https://t.co/tyoT3yadsI #p2000, 52.3523635, 4.8703212, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490031747416, , , 
843880591061868500, De #julianabrug in #zaandam #zaandijk ging open om 18:40 en zal 4 minuten open zijn. Zie https://t.co/zCqSr3mrjr #brugopen, 52.471471, 4.813427, <a href="https://brugopen.nl" rel="nofollow">BrugOpen</a>, 3375579785, nl, 1490031786109, , , 
843880821568299000, A1 13106 Rit 33448 Amsterdam Buitenrustpad 1097MV 2 H https://t.co/swGab0BPfT #p2000, 52.3442827, 4.9205611, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490031841066, , , 
843881091547254800, De #julianabrug in #zaandam #zaandijk is weer dicht. Zie https://t.co/zCqSr3mrjr #brugopen, 52.471471, 4.813427, <a href="https://brugopen.nl" rel="nofollow">BrugOpen</a>, 3375579785, nl, 1490031905434, 843880591061868500, 3375579785, OpenBrug
843881123168092200, 🇳🇱🚲 @ Amsterdam, Netherlands https://t.co/IUF6ze8Shy, 52.3731, 4.8922, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 1072220298, nl, 1490031912973, , , 
843881645493157900, #R1/Ring Antwerpen Ring 2 (Nederland) ter hoogte van Linkeroever Ongeval afgehandeld sinds 20/03/2017 18:44, 51.2145, 4.3608, <a href="http://www.touringmobilis.be" rel="nofollow">Automatic Traffic Update</a>, 55241812, nl, 1490032037505, , , 
843881771930452000, P 1 Ass. Ambu (Openen Deur) , Abrikozenstraat 67 Amsterdam [ 13GG06 13ASY ] https://t.co/RV6rOGS2Bl #p2000, 52.4105782, 4.8981612, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490032067650, , , 
843882316585996300, Bootcamp time iT is (@ The @BeachAalsmeer in Aalsmeer, NH) https://t.co/2Dw6DDFk3n, 52.2805092, 4.78544941, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 73122553, nl, 1490032197506, , , 
843882686569726000, Amsterdam 😇😇😇 @ Hampshire Hotel - Eden Amsterdam https://t.co/SlKdyC6rPh, 52.3668151, 4.8987656, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 54862325, nl, 1490032285717, , , 
843883600043040800, File op A17 Stilstaand verkeer #A17 #A17_NSZ #file #fileleed #verkeer https://t.co/Slcdr6p0eA, 51.54097, 4.43987, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490032503506, , , 
843883604870479900, Gewoon omdat het best kan op een maandag.. 😊 #rijks #rijksmuseum #diner #rab #radiodayseurope @… https://t.co/2Yl3VlHueY, 52.35995, 4.8853799, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 22126007, nl, 1490032504657, , , 
843883621530386400, #ICDirect 1053 (V 19:23 van Amsterdam Airport) naar Amsterdam Centraal rijdt vandaag niet. #fail Geld terug? Zie https://t.co/wQfqoWMoGC, 52.30944443, 4.76194429, <a href="https://sites.google.com/site/failrahsl/" rel="nofollow">FailraBot</a>, 278708054, nl, 1490032508629, , , 
843883659916529700, 📍Amsterdam #adidassuperstar @ Vondel Park Amsterdam https://t.co/YRD1fjaE20, 52.3731, 4.89329, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 149831398, nl, 1490032517781, , , 
843883770931368000, Ons plan voor garage kempering vandaag in het parool @ Amsterdam-Zuidoost https://t.co/3EP7iqn0gx, 52.31055556, 4.97333333, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 273091289, nl, 1490032544249, , , 
843883867144622100, Brasilidades @ Amsterdam-Noord https://t.co/ePeU24qvFJ, 52.39111, 4.91833, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 75930577, nl, 1490032567188, , , 
843884244556566500, Amsterdam 😇😇😇 @ Hampshire Hotel - Eden Amsterdam https://t.co/8FSkocgzFl, 52.3668151, 4.8987656, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 54862325, nl, 1490032657170, , , 
843885228124966900, #Throwback Amsterdam🇳🇱 💔 @ Amsterdam, Netherlands https://t.co/WuPIKfsS4f, 52.3731, 4.8922, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 213161577, nl, 1490032891671, , , 
843885860143710200, #citroëncx in #amsterdam @ Prinsengracht https://t.co/MnpOYSD4E0, 52.368776, 4.88256, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 3124393088, nl, 1490033042356, , , 
843886625683923000, Radio! | Elmar Hier | 105,6FM | rtvrv.nl (at @RTVRondeVenen in Mijdrecht, Utrecht) https://t.co/wRzA2DXjbB, 52.20736078, 4.8829051, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 204680724, nl, 1490033224875, , , 
843886825253097500, Benieuwd hoe groen links over links regering wil vormen. Kiezers hebben pvda daar Geen ruimte voor gegeven, 53.07578857, 6.70155, <a href="http://www.twitter.com" rel="nofollow">Twitter for Windows Phone</a>, 418115652, nl, 1490033272456, , , 
843887366926405600, File op A27 Stilstaand verkeer #A27 #A27_EVE #file #fileleed #verkeer https://t.co/yNNYbQoScs, 51.95851, 5.07805, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490033401601, , , 
843887763506323500, Prio: 1 Vechtpartij Molenwijk 1035EG Amsterdam https://t.co/aqdSQfHDq6 #p2000, 52.4173824, 4.8928442, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490033496153, , , 
843887771802656800, #AMSTERDAM #AML | Prio: 1 Vechtpartij Molenwijk 1035EG Amsterdam | https://t.co/5PvEIqN9ip, 52.420279, 4.885582, <a href="http://112alarm.net" rel="nofollow">112alarm.net</a>, 19140633, nl, 1490033498131, , , 
843888013021188100, Bijeenkomst marketing &amp; PR en verbindingen rondom recreatie en toerisme in Gemeente... https://t.co/OBz3yGrQ4b https://t.co/DE1jyfvviv, 51.48611623, 3.95727707, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 78434885, nl, 1490033555642, , , 
